Purple Book Monthly Historical Data Changes Report - November 2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date
U,ID Biomedical Corporation of Quebec,125163,"Flulaval, Flulaval Quadrivalent",Influenza Vaccine,351(a),60UG/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Disc,Licensed,27-Sep-13, ,N/A,279,Supplement,1739,5,CBER,,,,,
U,Dendreon Pharmaceuticals LLC,125197,Provenge,sipuleucel-T,351(a),50 M CD54 + ACTIVATED CELLS/250 ML,Injection,Intravenous,Bag,Rx,Licensed,29-Apr-10, ,N/A,0,Original,1749,1,CBER,,,,,
N,"Janssen Biotech, Inc.",761061,Tremfya,guselkumab,351(a),100MG/ML,Injection ,Subcutaneous,Autoinjector,Rx,Licensed,25-Mar-25,N/A,N/A,27,Supplement,1864,6,CDER,,,,,
N,Lupin Limited (Biotech Division),761212,Armlupeg,pegfilgrastim-unne,351(k) Biosimilar,6MG/0.6ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,28-Nov-25,pegfilgrastim,Neulasta,,Original,2052,1,CDER,,,,,
N,"CELLTRION, Inc.",761377,Eydenzelt,aflibercept-boav,351(k) Biosimilar,2MG/0.05ML,Injection ,Intravitreal,Single-Dose Vial,Rx,Licensed,2-Oct-25,aflibercept,Eylea,,Original,1996,1,CDER,,,,,
N,"CELLTRION, Inc.",761377,Eydenzelt,aflibercept-boav,351(k) Biosimilar,2MG/0.05ML,Injection ,Intravitreal,Pre-Filled Syringe,Rx,Licensed,2-Oct-25,aflibercept,Eylea,,Original,1996,2,CDER,,,,,
N,Bristol-Myers Squibb Company,761381,Opdivo Qvantig,nivolumab and hyaluronidase-nvhy,351(a),"300MG/2.5ML;5,000UNITS/2.5ML (120MG/2,000UNITS/ML)",Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,24-Nov-25,N/A,N/A,5,Supplement,1713,2,CDER,,,,,
U,"Samsung Bioepis Co., Ltd.",761392,Ospomyv,denosumab-dssb,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,13-Feb-25,denosumab,Prolia,,Original,2046,1,CDER,,,,,
U,"Samsung Bioepis Co., Ltd.",761392,Xbryk,denosumab-dssb,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,13-Feb-25,denosumab,Xgeva,,Original,2046,2,CDER,,,,,
U,"Fresenius Kabi USA, LLC",761398,Conexxence,denosumab-bnht,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,25-Mar-25,denosumab,Prolia,,Original,2146,1,CDER,,,,,
U,"Fresenius Kabi USA, LLC",761398,Bomyntra,denosumab-bnht,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,25-Mar-25,denosumab,Xgeva,,Original,2146,2,CDER,,,,,
U,"Fresenius Kabi USA, LLC",761398,Bomyntra,denosumab-bnht,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,25-Mar-25,denosumab,Xgeva,,Original,2146,3,CDER,,,,,
U,"CELLTRION, Inc.",761404,Stoboclo,denosumab-bmwo,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,28-Feb-25,denosumab,Prolia,,Original,1996,1,CDER,,,,,
U,"CELLTRION, Inc.",761404,Osenvelt,denosumab-bmwo,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,28-Feb-25,denosumab,Xgeva,,Original,1996,2,CDER,,,,,
N,Accord BioPharma Inc.,761424,Osvyrti,denosumab-desu,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,29-Oct-25,denosumab,Prolia,,Original,2105,1,CDER,,,,,
N,Accord BioPharma Inc.,761424,Jubereq,denosumab-desu,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,29-Oct-25,denosumab,Xgeva,,Original,2105,2,CDER,,,,,
N,"Otsuka Pharmaceutical Company, Ltd.",761434,Voyxact,sibeprenlimab-szsi,351(a),400MG/2ML (200MG/ML),Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,25-Nov-25,N/A,N/A,,Original,2387,1,CDER,,,,,
U,Biocon Biologics Inc.,761436,Bosaya,denosumab-kyqq,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,16-Sep-25,denosumab,Prolia,,Original,2324,1,CDER,,,,,
U,Biocon Biologics Inc.,761436,Aukelso,denosumab-kyqq,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,16-Sep-25,denosumab,Xgeva,,Original,2324,2,CDER,,,,,
U,Hikma Pharmaceuticals USA Inc.,761439,Enoby,denosumab-qbde,351(k) Interchangeable,60MG/ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,26-Sep-25,denosumab,Prolia,,Original,2356,1,CDER,,,,,
U,Hikma Pharmaceuticals USA Inc.,761439,Xtrenbo,denosumab-qbde,351(k) Interchangeable,120MG/1.7ML (70MG/ML),Injection ,Subcutaneous,Single-Dose Vial,Rx,Licensed,26-Sep-25,denosumab,Xgeva,,Original,2356,2,CDER,,,,,
