drugsA,drugsB,tanimoto,morgan
CHEBI_3534,CHEBI_23965,0.4531073,0.2290076
CHEBI_3534,CHEBI_37941,0.4122546,0.359375
CHEBI_3534,CHEBI_135949,0.3759621,0.3401361
CHEBI_3534,CHEBI_6741,0.5116279,0.4122137
CHEBI_3534,CHEBI_2637,0.3534379,0.1371429
CHEBI_3534,CHEBI_47426,0.3506882,0.336
CHEBI_23965,CHEBI_37941,0.3507853,0.2276423
CHEBI_23965,CHEBI_135949,0.3293729,0.1549296
CHEBI_23965,CHEBI_6741,0.4235294,0.1746032
CHEBI_23965,CHEBI_2637,0.3006052,0.0941176
CHEBI_23965,CHEBI_47426,0.3182126,0.15
CHEBI_37941,CHEBI_135949,0.3121387,0.3453237
CHEBI_37941,CHEBI_6741,0.3758514,0.3414634
CHEBI_37941,CHEBI_2637,0.2570601,0.0718563
CHEBI_37941,CHEBI_47426,0.3003717,0.2905983
CHEBI_135949,CHEBI_6741,0.3490683,0.3380282
CHEBI_135949,CHEBI_2637,0.2821293,0.0752688
CHEBI_135949,CHEBI_47426,0.2736132,0.2647059
CHEBI_6741,CHEBI_2637,0.3198738,0.0588235
CHEBI_6741,CHEBI_47426,0.3668831,0.3166667
CHEBI_2637,CHEBI_47426,0.2444274,0.097561
