. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
..13.c.carbon dioxide
..1ar.2s.2ar.7ar..1a.2a.6.6.tetramethyl.7.oxodecahydronaphtho.2.3.b.oxiren.2.yl.methyl palmitate
..1r.2r.5r..2..2.6.dimethoxy.4..2.methyloctan.2.yl.phenyl..7.7.dimethyl.4.bicyclo.3.1.1.hept.3.enyl. methanol
..201.tl.thallium monochloride
..2s.3as.4r.6s..4..hydroxymethyl..6..4.oxo.4.5.dihydro.3h.pyrrolo.3.2.d.pyrimidin.7.yl.tetrahydrofuro.3.4.d..1.3.dioxol.2.yl.methylphosphonic acid
..4r..4...3r.5s.7r.9s.10s.12s.13r.14s.17r..3.7.12.trihydroxy.10.13.dimethylhexadecahydro.1h.cyclopenta.a.phenanthren.17.yl.pentanoyl..l.aspartic acid
..imino.methoxy.methyl.amino..diphenoxy.phosphine oxide
...3.hydroxynonanoic acid
.....17r..apralactone a
.....1s.2s..norcoronamic acid
.....2e.4e..5...s..2.2.dimethyl.6.methylenecyclohexyl..3.methylpenta.2.4.dienoic acid
.....2s.3s.4as..altenuene.2.acetoxy ester
.....2s.3s.4as..altenuene.3.acetoxy ester
.....2s.3s.4r.7alpha..10.de.o.carbamoyl.12.o.carbamoyl.nbeta.acetylstreptothricin f
.....3s.6s.7r.8s..periconone a
.....5s.6s.10r..12.hydroxy.7.oxo.abieta.8.11.13.trien.20.oic acid6.20.lactone
.....7s..7.o.methylsydonic acid
.....7s..sydonic acid
.....7s.8r.7.apos.e..4.hydroxy.3.5.apos..dimethoxy.4.apos..7.epoxy.8.3.apos..neolign.7.apos..ene.9.9.apos..diol.9.apos..ethyl ether
.....7s.8s..4.hydroxy.3.3.apos..5.apos..trimethoxy.8.apos..9.apos..dinor.8.4.apos..oxyneolignan.7.9.diol.7.apos..oic acid
.....r..grifolinone c
.....r..variecolortide d
.....r.2e.4z..7..4.apos...dimethylamino.phenyl..4.6.dimethyl.7.oxohepta.2.4.dienoic acid
.....s..dihydroaeruginoic acid
....1.hydroxyboivinianic acid
....12.hydroxy.9z.hexadecenoic acid
....12alpha.28.dihydroxy.3alpha..3.apos..hydroxy.4.apos..methylglutaryloxy..24.methyllanosta.8.24.31..dien.26.oic acid
....15.16.dihydroxyoctadecanoic acid
....15s.hydroxy.hexadecanoic acid
